school,conf,rk,w,l,wl,srs,sos,pts_for,pts_vs,pts_total,ap_pre,ap_high,ap_final,pts_diff,ncaa_result,ncaa_numeric,season,coaches,year
air-force,MWC,1,12.0,21.0,0.364,-2.99,1.08,73.1,75.1,148.2,30.0,30.0,30.0,-2.0,NA,0.0,2016-17,Dave Pilipovich (12-21),2016.0
air-force,MWC,2,14.0,18.0,0.438,-5.51,0.66,68.4,72.8,141.2,30.0,30.0,30.0,-4.3999999999999915,NA,0.0,2015-16,Dave Pilipovich (14-18),2015.0
air-force,MWC,3,14.0,17.0,0.452,-1.85,-0.71,65.7,65.1,130.8,30.0,30.0,30.0,0.6000000000000085,NA,0.0,2014-15,Dave Pilipovich (14-17),2014.0
air-force,MWC,4,12.0,18.0,0.4,-4.08,1.71,66.0,69.1,135.1,30.0,30.0,30.0,-3.0999999999999943,NA,0.0,2013-14,Dave Pilipovich (12-18),2013.0
air-force,MWC,5,18.0,14.0,0.563,4.18,4.28,70.0,67.8,137.8,30.0,30.0,30.0,2.200000000000003,NA,0.0,2012-13,Dave Pilipovich (18-14),2012.0
air-force,MWC,6,13.0,16.0,0.448,-0.45,2.14,61.6,62.0,123.6,30.0,30.0,30.0,-0.3999999999999986,NA,0.0,2011-12,"Jeff Reynolds (11-10), Dave Pilipovich (2-6)",2011.0
air-force,MWC,7,16.0,16.0,0.5,2.71,3.31,64.8,65.1,129.89999999999998,30.0,30.0,30.0,-0.29999999999999716,NA,0.0,2010-11,Jeff Reynolds (16-16),2010.0
air-force,MWC,8,10.0,21.0,0.323,-4.9,3.13,57.2,63.1,120.30000000000001,30.0,30.0,30.0,-5.899999999999999,NA,0.0,2009-10,Jeff Reynolds (10-21),2009.0
air-force,MWC,9,10.0,21.0,0.323,-2.99,2.37,58.7,62.5,121.2,30.0,30.0,30.0,-3.799999999999997,NA,0.0,2008-09,Jeff Reynolds (10-21),2008.0
air-force,MWC,10,16.0,14.0,0.533,0.44,0.19,58.7,57.2,115.9,30.0,30.0,30.0,1.5,NA,0.0,2007-08,Jeff Reynolds (16-14),2007.0
air-force,MWC,11,26.0,9.0,0.743,15.19,3.34,69.0,56.0,125.0,30.0,13.0,30.0,13.0,NA,0.0,2006-07,Jeff Bzdelik (26-9),2006.0
air-force,MWC,12,24.0,7.0,0.774,10.2,2.49,64.2,54.7,118.9,30.0,30.0,30.0,9.5,Lost First Round,1.0,2005-06,Jeff Bzdelik (24-7),2005.0
air-force,MWC,13,18.0,12.0,0.6,8.61,2.61,61.2,54.3,115.5,30.0,30.0,30.0,6.900000000000006,NA,0.0,2004-05,Chris Mooney (18-12),2004.0
air-force,MWC,14,22.0,7.0,0.759,9.12,0.08,59.9,50.9,110.8,30.0,25.0,30.0,9.0,Lost First Round,1.0,2003-04,Joe Scott (22-7),2003.0
air-force,MWC,15,12.0,16.0,0.429,1.71,1.46,57.3,57.0,114.3,30.0,30.0,30.0,0.29999999999999716,NA,0.0,2002-03,Joe Scott (12-16),2002.0
air-force,MWC,16,9.0,19.0,0.321,-0.95,3.23,57.3,61.5,118.8,30.0,30.0,30.0,-4.200000000000003,NA,0.0,2001-02,Joe Scott (9-19),2001.0
air-force,MWC,17,8.0,21.0,0.276,-3.57,1.99,57.5,63.0,120.5,30.0,30.0,30.0,-5.5,NA,0.0,2000-01,Joe Scott (8-21),2e3
air-force,MWC,18,8.0,20.0,0.286,-5.07,2.58,67.5,73.1,140.6,30.0,30.0,30.0,-5.599999999999994,NA,0.0,1999-00,Reggie Minton (8-20),1999.0
air-force,WAC,19,10.0,16.0,0.385,-4.0,2.53,76.2,80.2,156.4,30.0,30.0,30.0,-4.0,NA,0.0,1998-99,Reggie Minton (10-16),1998.0
air-force,WAC,20,10.0,16.0,0.385,-5.51,2.59,68.2,69.7,137.9,30.0,30.0,30.0,-1.5,NA,0.0,1997-98,Reggie Minton (10-16),1997.0
air-force,WAC,21,7.0,19.0,0.269,-4.94,1.15,67.9,72.1,140.0,30.0,30.0,30.0,-4.199999999999989,NA,0.0,1996-97,Reggie Minton (7-19),1996.0
air-force,WAC,22,5.0,23.0,0.179,-5.63,5.04,67.1,74.6,141.7,30.0,30.0,30.0,-7.5,NA,0.0,1995-96,Reggie Minton (5-23),1995.0
air-force,WAC,23,8.0,20.0,0.286,-4.05,4.95,67.2,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1994-95,Reggie Minton (8-20),1994.0
air-force,WAC,24,8.0,18.0,0.308,-6.27,2.41,69.7,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1993-94,Reggie Minton (8-18),1993.0
air-force,WAC,25,9.0,19.0,0.321,-7.45,2.05,65.5,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1992-93,Reggie Minton (9-19),1992.0
air-force,WAC,26,9.0,20.0,0.31,-6.8,1.88,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1991-92,Reggie Minton (9-20),1991.0
air-force,WAC,27,9.0,20.0,0.31,-7.77,0.59,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1990-91,Reggie Minton (9-20),1990.0
air-force,WAC,28,12.0,20.0,0.375,-1.86,3.71,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1989-90,Reggie Minton (12-20),1989.0
air-force,WAC,29,14.0,14.0,0.5,2.94,3.39,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1988-89,Reggie Minton (14-14),1988.0
air-force,WAC,30,11.0,17.0,0.393,-6.7,2.6,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1987-88,Reggie Minton (11-17),1987.0
air-force,WAC,31,12.0,15.0,0.444,-3.72,0.37,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1986-87,Reggie Minton (12-15),1986.0
air-force,WAC,32,10.0,19.0,0.345,-6.92,0.2,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1985-86,Reggie Minton (10-19),1985.0
air-force,WAC,33,8.0,20.0,0.286,-6.11,-0.31,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1984-85,Reggie Minton (8-20),1984.0
air-force,WAC,34,8.0,19.0,0.296,-4.0,3.13,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1983-84,Hank Egan (8-19),1983.0
air-force,WAC,35,10.0,17.0,0.37,-8.78,-0.82,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1982-83,Hank Egan (10-17),1982.0
air-force,WAC,36,8.0,19.0,0.296,-4.84,4.75,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1981-82,Hank Egan (8-19),1981.0
air-force,WAC,37,9.0,18.0,0.333,1.71,5.27,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1980-81,Hank Egan (9-18),1980.0
air-force,WAC,38,8.0,17.0,0.32,-7.84,-1.07,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1979-80,Hank Egan (8-17),1979.0
air-force,Ind,39,12.0,13.0,0.48,-3.9,0.52,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1978-79,Hank Egan (12-13),1978.0
air-force,Ind,40,15.0,10.0,0.6,2.0,2.21,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1977-78,Hank Egan (15-10),1977.0
air-force,Ind,41,12.0,15.0,0.444,-4.83,-0.69,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1976-77,Hank Egan (12-15),1976.0
air-force,Ind,42,16.0,9.0,0.64,-4.2,-4.26,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1975-76,Hank Egan (16-9),1975.0
air-force,Ind,43,13.0,12.0,0.52,-5.74,-0.8,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1974-75,Hank Egan (13-12),1974.0
air-force,Ind,44,11.0,13.0,0.458,-5.6,-1.54,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1973-74,Hank Egan (11-13),1973.0
air-force,Ind,45,14.0,10.0,0.583,-0.02,-3.34,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1972-73,Hank Egan (14-10),1972.0
air-force,Ind,46,12.0,13.0,0.48,-8.53,-4.66,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1971-72,Hank Egan (12-13),1971.0
air-force,Ind,47,12.0,14.0,0.462,-6.08,1.16,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1970-71,Bob Spear (12-14),1970.0
air-force,Ind,48,12.0,12.0,0.5,-0.84,4.1,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1969-70,Bob Spear (12-12),1969.0
air-force,Ind,49,11.0,13.0,0.458,-6.92,-0.09,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1968-69,Bob Spear (11-13),1968.0
air-force,Ind,50,9.0,15.0,0.375,-9.31,1.65,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1967-68,Bob Spear (9-15),1967.0
air-force,Ind,51,6.0,18.0,0.25,-6.12,2.2,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1966-67,Bob Spear (6-18),1966.0
air-force,Ind,52,14.0,12.0,0.538,0.42,2.17,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1965-66,Bob Spear (14-12),1965.0
air-force,Ind,53,9.0,14.0,0.391,-1.71,1.76,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1964-65,Bob Spear (9-14),1964.0
air-force,Ind,54,11.0,12.0,0.478,3.25,0.89,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1963-64,Bob Spear (11-12),1963.0
air-force,Ind,55,10.0,12.0,0.455,-1.11,3.19,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1962-63,Bob Spear (10-12),1962.0
air-force,Ind,56,16.0,7.0,0.696,-3.1,-2.88,NA,NA,NA,30.0,30.0,30.0,NA,Lost First Round,1.0,1961-62,Bob Spear (16-7),1961.0
air-force,Ind,57,12.0,12.0,0.5,-4.71,0.5,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1960-61,Bob Spear (12-12),1960.0
air-force,Ind,58,12.0,10.0,0.545,-6.5,-2.23,NA,NA,NA,30.0,30.0,30.0,NA,Lost First Round,1.0,1959-60,Bob Spear (12-10),1959.0
air-force,Ind,59,14.0,9.0,0.609,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1958-59-nm,Bob Spear (14-9),1958.0
air-force,Ind,60,17.0,6.0,0.739,-1.88,-1.88,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1957-58,Bob Spear (17-6),1957.0
akron,MAC,1,26.0,8.0,0.765,3.97,-1.52,77.2,70.3,147.5,30.0,30.0,30.0,6.900000000000006,NA,0.0,2016-17,Keith Dambrot (26-8),2016.0
akron,MAC,2,26.0,9.0,0.743,5.55,-1.24,76.6,68.0,144.6,30.0,30.0,30.0,8.599999999999994,NA,0.0,2015-16,Keith Dambrot (26-9),2015.0
akron,MAC,3,21.0,14.0,0.6,3.65,-0.47,68.1,62.9,131.0,30.0,30.0,30.0,5.199999999999996,NA,0.0,2014-15,Keith Dambrot (21-14),2014.0
akron,MAC,4,21.0,13.0,0.618,1.16,-0.48,68.6,66.9,135.5,30.0,30.0,30.0,1.6999999999999886,NA,0.0,2013-14,Keith Dambrot (21-13),2013.0
akron,MAC,5,26.0,7.0,0.788,8.11,0.18,71.8,62.8,134.6,30.0,30.0,30.0,9.0,Lost Second Round,2.0,2012-13,Keith Dambrot (26-7),2012.0
akron,MAC,6,22.0,12.0,0.647,6.33,0.72,72.2,65.9,138.10000000000002,30.0,30.0,30.0,6.299999999999997,NA,0.0,2011-12,Keith Dambrot (22-12),2011.0
akron,MAC,7,23.0,13.0,0.639,2.15,-1.02,70.1,65.7,135.8,30.0,30.0,30.0,4.3999999999999915,Lost Second Round,2.0,2010-11,Keith Dambrot (23-13),2010.0
akron,MAC,8,24.0,11.0,0.686,2.82,-1.5,70.6,65.5,136.1,30.0,30.0,30.0,5.099999999999994,NA,0.0,2009-10,Keith Dambrot (24-11),2009.0
akron,MAC,9,23.0,13.0,0.639,3.37,-2.01,66.8,60.3,127.1,30.0,30.0,30.0,6.5,Lost First Round,1.0,2008-09,Keith Dambrot (23-13),2008.0
akron,MAC,10,24.0,11.0,0.686,6.24,0.33,70.8,63.8,134.6,30.0,30.0,30.0,7.0,NA,0.0,2007-08,Keith Dambrot (24-11),2007.0
akron,MAC,11,26.0,7.0,0.788,10.9,-1.9,75.3,61.0,136.3,30.0,30.0,30.0,14.299999999999997,NA,0.0,2006-07,Keith Dambrot (26-7),2006.0
akron,MAC,12,23.0,10.0,0.697,5.0,0.13,72.9,66.1,139.0,30.0,30.0,30.0,6.800000000000011,NA,0.0,2005-06,Keith Dambrot (23-10),2005.0
akron,MAC,13,19.0,10.0,0.655,7.03,1.67,71.8,65.6,137.39999999999998,30.0,30.0,30.0,6.200000000000003,NA,0.0,2004-05,Keith Dambrot (19-10),2004.0
akron,MAC,14,13.0,15.0,0.464,-0.39,0.0,71.8,72.1,143.89999999999998,30.0,30.0,30.0,-0.29999999999999716,NA,0.0,2003-04,Dan Hipsher (13-15),2003.0
akron,MAC,15,14.0,14.0,0.5,-0.8,-1.43,78.6,77.0,155.6,30.0,30.0,30.0,1.5999999999999943,NA,0.0,2002-03,Dan Hipsher (14-14),2002.0
akron,MAC,16,10.0,21.0,0.323,-4.84,0.36,69.5,74.3,143.8,30.0,30.0,30.0,-4.799999999999997,NA,0.0,2001-02,Dan Hipsher (10-21),2001.0
akron,MAC,17,12.0,16.0,0.429,-3.09,1.67,67.9,72.6,140.5,30.0,30.0,30.0,-4.699999999999989,NA,0.0,2000-01,Dan Hipsher (12-16),2e3
akron,MAC,18,17.0,11.0,0.607,3.44,1.32,75.9,71.8,147.7,30.0,30.0,30.0,4.1000000000000085,NA,0.0,1999-00,Dan Hipsher (17-11),1999.0
akron,MAC,19,18.0,9.0,0.667,5.15,1.11,75.2,70.6,145.8,30.0,30.0,30.0,4.6000000000000085,NA,0.0,1998-99,Dan Hipsher (18-9),1998.0
akron,MAC,20,17.0,10.0,0.63,5.57,-0.66,75.3,67.6,142.89999999999998,30.0,30.0,30.0,7.700000000000003,NA,0.0,1997-98,Dan Hipsher (17-10),1997.0
akron,MAC,21,8.0,18.0,0.308,-1.18,0.98,70.5,71.9,142.4,30.0,30.0,30.0,-1.4000000000000057,NA,0.0,1996-97,Dan Hipsher (8-18),1996.0
akron,MAC,22,3.0,23.0,0.115,-11.17,2.51,62.7,75.0,137.7,30.0,30.0,30.0,-12.299999999999997,NA,0.0,1995-96,Dan Hipsher (3-23),1995.0
akron,MAC,23,8.0,18.0,0.308,-7.59,0.97,60.2,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1994-95,Coleman Crawford (8-18),1994.0
akron,MAC,24,8.0,18.0,0.308,-8.14,-2.22,61.6,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1993-94,Coleman Crawford (8-18),1993.0
akron,MAC,25,8.0,18.0,0.308,-10.69,-5.07,62.1,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1992-93,Coleman Crawford (8-18),1992.0
akron,Mid-Cont,26,16.0,12.0,0.571,-5.77,-4.14,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1991-92,Coleman Crawford (16-12),1991.0
akron,Mid-Cont,27,15.0,13.0,0.536,-3.28,-3.69,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1990-91,Coleman Crawford (15-13),1990.0
akron,Ind,28,16.0,12.0,0.571,-2.43,-3.12,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1989-90,Coleman Crawford (16-12),1989.0
akron,Ind,29,21.0,8.0,0.724,9.07,-5.52,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1988-89,Bob Huggins (21-8),1988.0
akron,Ind,30,21.0,7.0,0.75,2.93,-6.75,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1987-88,Bob Huggins (21-7),1987.0
akron,OVC,31,21.0,9.0,0.7,2.57,-3.65,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1986-87,Bob Huggins (21-9),1986.0
akron,OVC,32,22.0,8.0,0.733,0.05,-3.79,NA,NA,NA,30.0,30.0,30.0,NA,Lost First Round,1.0,1985-86,Bob Huggins (22-8),1985.0
akron,OVC,33,12.0,14.0,0.462,-7.34,-4.3,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1984-85,Bob Huggins (12-14),1984.0
akron,OVC,34,8.0,19.0,0.296,-10.06,-4.22,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1983-84,Bob Rupert (8-19),1983.0
akron,OVC,35,14.0,15.0,0.483,-6.59,-3.51,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1982-83,Bob Rupert (14-15),1982.0
akron,OVC,36,7.0,19.0,0.269,-13.76,-5.16,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1981-82,Bob Rupert (7-19),1981.0
akron,OVC,37,8.0,18.0,0.308,-10.47,-2.88,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1980-81,Bob Rupert (8-18),1980.0
akron,Ind,38,16.0,9.0,0.64,-2.18,-0.85,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1949-50,Russell Beichly (16-9),1949.0
akron,Ind,39,16.0,6.0,0.727,NA,NA,62.2,53.7,115.9,30.0,30.0,30.0,8.5,NA,0.0,1948-49,Russell Beichly (16-6),1948.0
akron,Ind,40,15.0,9.0,0.625,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1947-48,Russell Beichly (15-9),1947.0
akron,Ind,41,21.0,2.0,0.913,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1944-45,Russell Beichly (21-2),1944.0
akron,Ind,42,10.0,5.0,0.667,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1943-44,Russell Beichly (10-5),1943.0
akron,Ind,43,18.0,3.0,0.857,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1942-43,Russell Beichly (18-3),1942.0
akron,Ind,44,15.0,1.0,0.938,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1933-34,Red Blair (15-1),1933.0
akron,Ind,45,12.0,1.0,0.923,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1922-23,Fred Sefton (12-1),1922.0
akron,Ind,46,5.0,8.0,0.385,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1921-22,Fred Sefton (5-8),1921.0
akron,Ind,47,11.0,2.0,0.846,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1920-21,Fred Sefton (11-2),1920.0
akron,Ind,48,12.0,2.0,0.857,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1919-20,Fred Sefton (12-2),1919.0
akron,Ind,49,14.0,0.0,1.0,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1918-19,Fred Sefton (14-0),1918.0
akron,Ind,50,9.0,4.0,0.692,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1917-18,Fred Sefton (9-4),1917.0
akron,Ind,51,14.0,2.0,0.875,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1916-17,Fred Sefton (14-2),1916.0
akron,Ind,52,5.0,5.0,0.5,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1915-16,Fred Sefton (5-5),1915.0
akron,Ind,53,2.0,10.0,0.167,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1914-15,Frank Haggerty (2-10),1914.0
akron,Ind,54,6.0,6.0,0.5,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1913-14,Frank Haggerty (6-6),1913.0
akron,Ind,55,7.0,1.0,0.875,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1912-13,Frank Haggerty (7-1),1912.0
akron,Ind,56,6.0,3.0,0.667,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1911-12,Frank Haggerty (6-3),1911.0
akron,Ind,57,8.0,4.0,0.667,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1910-11,Frank Haggerty (8-4),1910.0
akron,Ind,58,5.0,3.0,0.625,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1909-10,Clarence Weed (5-3),1909.0
akron,Ind,59,6.0,7.0,0.462,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1908-09,Walter East (6-7),1908.0
akron,Ind,60,4.0,5.0,0.444,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1907-08,Earl Williams (4-5),1907.0
akron,Ind,61,5.0,2.0,0.714,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1906-07,Earl Williams (5-2),1906.0
akron,Ind,62,6.0,7.0,0.462,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1905-06,Earl Williams (6-7),1905.0
akron,Ind,63,8.0,6.0,0.571,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1904-05,Earl Williams (8-6),1904.0
akron,Ind,64,3.0,7.0,0.3,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1903-04,No coach,1903.0
akron,Ind,65,4.0,4.0,0.5,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1902-03,No coach,1902.0
akron,Ind,66,2.0,2.0,0.5,NA,NA,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1901-02,No coach,1901.0
alabama,SEC,1,19.0,14.0,0.576,11.77,7.62,68.7,64.5,133.2,30.0,30.0,30.0,4.200000000000003,NA,0.0,2016-17,Avery Johnson (19-14),2016.0
alabama,SEC,2,18.0,15.0,0.545,7.14,8.62,66.5,67.9,134.4,30.0,30.0,30.0,-1.4000000000000057,NA,0.0,2015-16,Avery Johnson (18-15),2015.0
alabama,SEC,3,19.0,15.0,0.559,10.52,8.09,67.1,64.1,131.2,30.0,30.0,30.0,3.0,NA,0.0,2014-15,"John Brannen (1-1), Anthony Grant (18-14)",2014.0
alabama,SEC,4,13.0,19.0,0.406,8.34,8.88,67.8,67.2,135.0,30.0,30.0,30.0,0.5999999999999943,NA,0.0,2013-14,Anthony Grant (13-19),2013.0
alabama,SEC,5,23.0,13.0,0.639,9.79,5.93,63.0,58.4,121.4,30.0,30.0,30.0,4.600000000000001,NA,0.0,2012-13,Anthony Grant (23-13),2012.0
alabama,SEC,6,21.0,12.0,0.636,13.76,7.18,64.7,58.1,122.80000000000001,19.0,12.0,30.0,6.600000000000001,Lost Second Round,2.0,2011-12,Anthony Grant (21-12),2011.0
alabama,SEC,7,25.0,12.0,0.676,11.7,4.27,66.8,59.4,126.19999999999999,30.0,30.0,30.0,7.399999999999999,NA,0.0,2010-11,Anthony Grant (25-12),2010.0
alabama,SEC,8,17.0,15.0,0.531,10.34,6.62,68.5,64.8,133.3,30.0,30.0,30.0,3.700000000000003,NA,0.0,2009-10,Anthony Grant (17-15),2009.0
alabama,SEC,9,18.0,14.0,0.563,5.49,3.99,73.4,70.4,143.8,30.0,30.0,30.0,3.0,NA,0.0,2008-09,"Mark Gottfried (12-7), Philip Pearson (6-7)",2008.0
alabama,SEC,10,17.0,16.0,0.515,8.12,5.7,75.3,72.8,148.1,30.0,30.0,30.0,2.5,NA,0.0,2007-08,Mark Gottfried (17-16),2007.0
alabama,SEC,11,20.0,12.0,0.625,10.81,6.24,74.0,69.5,143.5,11.0,4.0,30.0,4.5,NA,0.0,2006-07,Mark Gottfried (20-12),2006.0
alabama,SEC,12,18.0,13.0,0.581,10.79,8.08,70.3,67.5,137.8,15.0,15.0,30.0,2.799999999999997,Lost Second Round,2.0,2005-06,Mark Gottfried (18-13),2005.0
alabama,SEC,13,24.0,8.0,0.75,16.74,6.81,75.8,65.1,140.89999999999998,18.0,11.0,21.0,10.700000000000003,Lost First Round,1.0,2004-05,Mark Gottfried (24-8),2004.0
alabama,SEC,14,20.0,13.0,0.606,14.29,10.2,72.1,68.0,140.1,30.0,30.0,30.0,4.099999999999994,Lost Regional Final,16.0,2003-04,Mark Gottfried (20-13),2003.0
alabama,SEC,15,17.0,12.0,0.586,13.36,9.4,69.0,65.1,134.1,8.0,1.0,30.0,3.9000000000000057,Lost First Round,1.0,2002-03,Mark Gottfried (17-12),2002.0
alabama,SEC,16,27.0,8.0,0.771,16.93,7.67,75.9,66.7,142.60000000000002,24.0,5.0,8.0,9.200000000000003,Lost Second Round,2.0,2001-02,Mark Gottfried (27-8),2001.0
alabama,SEC,17,25.0,11.0,0.694,14.02,6.27,76.7,68.9,145.60000000000002,30.0,14.0,30.0,7.799999999999997,NA,0.0,2000-01,Mark Gottfried (25-11),2e3
alabama,SEC,18,13.0,16.0,0.448,7.44,7.62,72.2,72.4,144.60000000000002,30.0,30.0,30.0,-0.20000000000000284,NA,0.0,1999-00,Mark Gottfried (13-16),1999.0
alabama,SEC,19,17.0,15.0,0.531,5.73,6.66,67.0,67.9,134.9,30.0,30.0,30.0,-0.9000000000000057,NA,0.0,1998-99,Mark Gottfried (17-15),1998.0
alabama,SEC,20,15.0,16.0,0.484,7.73,6.47,69.9,69.0,138.9,30.0,30.0,30.0,0.9000000000000057,NA,0.0,1997-98,David Hobbs (15-16),1997.0
alabama,SEC,21,17.0,14.0,0.548,9.67,6.04,69.9,64.7,134.60000000000002,30.0,19.0,30.0,5.200000000000003,NA,0.0,1996-97,David Hobbs (17-14),1996.0
alabama,SEC,22,19.0,13.0,0.594,7.0,6.13,72.0,71.1,143.1,30.0,30.0,30.0,0.9000000000000057,NA,0.0,1995-96,David Hobbs (19-13),1995.0
alabama,SEC,23,23.0,10.0,0.697,15.47,6.59,73.0,NA,NA,18.0,18.0,20.0,NA,Lost Second Round,2.0,1994-95,David Hobbs (23-10),1994.0
alabama,SEC,24,20.0,10.0,0.667,10.19,6.06,73.6,NA,NA,30.0,30.0,30.0,NA,Lost Second Round,2.0,1993-94,David Hobbs (20-10),1993.0
alabama,SEC,25,16.0,13.0,0.552,9.66,7.83,75.6,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1992-93,David Hobbs (16-13),1992.0
alabama,SEC,26,26.0,9.0,0.743,13.52,7.29,NA,NA,NA,17.0,9.0,13.0,NA,Lost Second Round,2.0,1991-92,Wimp Sanderson (26-9),1991.0
alabama,SEC,27,23.0,10.0,0.697,14.3,8.7,NA,NA,NA,7.0,6.0,19.0,NA,Lost Regional Semifinal,8.0,1990-91,Wimp Sanderson (23-10),1990.0
alabama,SEC,28,26.0,9.0,0.743,15.95,5.77,NA,NA,NA,30.0,19.0,23.0,NA,Lost Regional Semifinal,8.0,1989-90,Wimp Sanderson (26-9),1989.0
alabama,SEC,29,23.0,8.0,0.742,9.58,3.52,NA,NA,NA,30.0,20.0,20.0,NA,Lost First Round,1.0,1988-89,Wimp Sanderson (23-8),1988.0
alabama,SEC,30,14.0,17.0,0.452,3.96,6.63,NA,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1987-88,Wimp Sanderson (14-17),1987.0
alabama,SEC,31,28.0,5.0,0.848,19.42,8.99,NA,NA,NA,13.0,8.0,9.0,NA,Lost Regional Semifinal,8.0,1986-87,Wimp Sanderson (28-5),1986.0
alabama,SEC,32,24.0,9.0,0.727,16.73,9.09,NA,NA,NA,30.0,18.0,30.0,NA,Lost Regional Semifinal,8.0,1985-86,Wimp Sanderson (24-9),1985.0
